#puzzle name, answer, is it correct?, response
1701,474438,False,Keep going...
1701,USSWELLS,True,SALVAGE
Binary Image,12TIMEZONENATION,False,Keep going...
Chibiusa,PALLAS,True,EMBARGO
Chibiusa,PALLAPALLA,True,EMBARGO
CPC Makes Travel History*,CLEAVEYEARSANDDATES,False,Keep going...
Encore,HAMILT,False,One more time...
Fishing In Time,MAHATMAGANDHI,True,CHEERIO
Fishing In Time,MOHANDASGANDHI,True,CHEERIO
Jar Heads,95,False,Name of element?
Jet Lag,MOTTOONCREST,False,Keep going...
Jet Lag,WEGOVERNBYSERVING,True,NONSTOP
Just Add Thyme,PARSLEYSAGEROSEMARY,False,Keep going...
Just Add Thyme,CAMBRICSHIRT,True,ASSUAGE
Now is Not the Time to Use That!,ABEGINRSTWY,False,Keep going...
Now is Not the Time to Use That!,GENERAYWEBSITE,False,What is it?
Reality Time Viewer,CHANNEL,False,Keep going...
Reality Time Viewer,TOPCHEF,False,Keep going...
The Time Travelerâ€™s Wife,ROMCOM,True,OCEANIA
Time To Explore*,ANATOLIA,False,Part 2 URL?
Time To Get A Watch,INTERNATIONALWATCHCO,True,CATSPAW
Time To Get A Watch,IWC,True,CATSPAW
Time To Get A Watch,IWCSCHAFFHAUSEN,True,CATSPAW
Timey Wimey Rhymey Stuff,HUGEJOB,False,Keep going...
